AT,TAT,TEY,CLUSTER
4.5878,549.83,134.67,1
4.2932,550.05,134.67,1
3.9045,550.19,135.1,1
3.7436,550.17,135.03,1
3.7516,550.0,134.67,1
3.8858,549.98,134.67,1
3.6697,550.04,134.68,1
3.5892,549.88,134.66,1
3.7108,549.98,134.65,1
4.8281,549.8,132.67,1
6.0334,550.04,135.24,1
7.9896,534.81,152.6,1
9.8712,530.58,159.99,1
10.946,530.67,160.09,0
10.755,529.35,160.66,0
10.175,530.67,160.64,0
9.5069,530.75,160.84,0
5.388,549.11,134.26,1
5.4906,549.65,121.95,1
5.4522,549.71,133.51,1
5.4774,550.13,129.19,1
5.3784,550.1,131.08,1
5.2236,550.09,129.06,1
5.2513,549.93,132.86,1
5.2734,550.06,125.76,1
5.9776,550.02,130.63,1
6.7676,550.04,133.52,1
7.5710000000000015,549.87,132.98,1
9.2719,549.87,133.67,1
11.350999999999999,549.85,133.68,1
12.517999999999999,549.71,133.67,1
13.1,549.63,133.67,1
13.458,549.83,133.64,1
13.429,550.12,123.68,1
12.860999999999999,549.7,125.72,1
12.259,531.41,158.68,0
12.275,533.5,157.24,0
12.005,531.87,158.75,0
11.600999999999999,530.83,159.5,0
11.782,530.46,159.5,0
12.624,538.27,145.54,1
12.308,549.7,131.37,1
11.432,549.94,133.65,1
11.387,549.83,134.01,1
11.735999999999999,550.31,133.67,1
11.728,549.91,133.67,1
11.384,549.87,133.66,1
11.087,550.08,133.68,1
10.584000000000001,550.16,132.98,1
10.181000000000001,549.72,134.47,1
10.300999999999998,549.17,134.3,1
10.422,531.59,159.83,0
10.593,530.58,160.63,0
10.555,531.44,160.14,1
10.527999999999999,530.0,161.16,1
10.254000000000001,530.75,161.04,1
9.8215,529.5,162.15,0
8.7987,529.7,163.03,1
6.9549,549.97,134.12,1
7.0389,549.94,132.7,1
7.1611,550.11,133.45,1
7.3617,549.72,133.69,1
7.2594,550.06,133.68,1
6.9188,549.9,133.69,1
6.8903,550.06,133.69,1
6.7569,550.24,133.65,1
6.7155,549.88,132.76,1
6.817,540.77,144.56,1
7.3078,550.34,133.99,1
7.3157,549.77,134.49,1
7.3168,549.74,133.72,1
7.1878,536.99,149.68,1
7.1168,549.98,137.65,1
7.1325,549.86,133.5,1
7.2618,550.06,134.44,1
7.6137,550.02,134.2,1
7.8848,550.03,133.69,1
7.9395,550.03,133.68,1
7.9592,549.82,133.69,1
7.9442,550.12,133.63,1
8.0315,549.87,133.43,1
8.1683,534.49,154.39,1
6.9879999999999995,548.96,135.11,1
6.6543,549.8,133.33,1
5.4611,549.71,134.37,1
5.8372,549.79,134.08,1
7.0528,550.18,133.46,1
7.1873,550.04,132.96,1
6.6405,549.92,134.35,1
6.1033,549.98,133.67,1
5.4546,549.84,133.67,1
5.1361,550.06,133.68,1
4.9719,549.16,134.69,1
6.4237,549.55,135.94,1
6.3186,550.02,133.39,1
5.9587,550.03,129.39,1
5.9384,550.26,131.25,1
5.7952,549.92,134.68,1
5.7183,549.92,134.64,1
5.9779,549.96,133.69,1
6.0551,550.03,133.67,1
6.1375,540.97,142.94,1
11.613,529.62,159.84,0
5.3738,549.87,133.63,1
5.4462,550.09,132.46,1
5.6988,550.11,133.68,1
5.8975,549.91,133.68,1
6.2033,549.94,133.67,1
6.664,549.8,133.68,1
7.2426,550.14,133.67,1
